BARRECA A.;Dif  ;-999;0;0;0;0;0;0;0;0;6.5
BASELLI D.;Cen ;-999;0;0;0;0;0;0;0;0;5.0
VIVES G.;Cen  ;-999;0;0;0;0;1;0;0;0;5.0
ACQUAH A.;Cen  ;-999;0;0;0;0;1;0;0;0;4.0
ARAMU M.;Tre ;-999;0;0;0;0;0;0;0;0;6.0
MARTINEZ J.;Att  ;-999;0;0;0;1;0;0;0;0;5.0
BOYE L.;Att ;-999;0;0;0;0;0;0;0;0;6.5
BENASSI M.;Cen ;-999;0;0;0;0;0;0;0;0;6.5
OBI J.;Cen ;-999;0;0;0;0;0;0;0;0;6.0
BELOTTI A.;Att ;-999;0;0;0;0;0;0;0;0;6.5
KARNEZIS O.;Por  ;-999;0;2;0;0;0;0;0;0;6.0
DANILO L.;Dif  ;-999;1;0;0;0;0;0;0;0;6.5
HEURTAUX T.;Dif  ;-999;0;0;0;1;0;0;0;0;6.5
FELIPE D.;Dif  ;-999;0;0;0;0;0;0;0;0;5.5
ADNAN A.;Dif  ;-999;0;0;0;0;0;0;0;0;5.0
BADU E.;Cen  ;-999;0;0;0;0;0;0;0;0;7.0
KUMS S.;Cen  ;-999;0;0;0;0;0;0;0;0;6.0
KONE P.;Cen ;-999;0;0;0;0;0;0;0;0;6.0
DE PAUL R.;Tre  ;-999;0;0;1;0;0;0;0;0;7.0
PERICA S.;Att ;-999;0;0;0;0;0;0;0;0;5.5
ZAPATA D.;Att ;-999;1;0;0;0;0;0;0;0;7.0
JANKTO J.;Cen ;-999;0;0;0;0;0;0;0;0;0
PENARANDA A.;Att ;-999;0;0;0;0;0;0;0;0;6.5
THEREAU C.;Att ;-999;0;0;0;0;0;0;0;0;5.5
